Outcome,Week End,Age Group,Unvaccinated Rate,Vaccinated Rate,Boosted Rate,Crude Vaccinated Ratio,Crude Boosted Ratio,Age-Adjusted Unvaccinated Rate,Age-Adjusted Vaccinated Rate,Age-Adjusted Boosted Rate,Age-Adjusted Vaccinated Ratio,Age-Adjusted Boosted Ratio,Population Unvaccinated,Population Vaccinated,Population Boosted,Outcome Unvaccinated,Outcome Vaccinated,Outcome Boosted,Age Group Min,Age Group Max
Deaths,06/26/2021,80+,3.0,0.0,,,,,,,,,33591,50911,,1,0,,80,200
Cases,11/20/2021,80+,106.8,179.0,16.3,0.6,6.6,,,,,,29022,36868,18401,31,66,3,80,200
Hospitalizations,10/09/2021,80+,32.8,15.3,,2.1,,,,,,,30481,52266,,10,8,,80,200
Cases,01/08/2022,0-4,1359.4,,,,,,,,,,162642,,,2211,,,0,4
Hospitalizations,08/28/2021,5-11,0.5,,,,,,,,,,210448,,,1,,,5,11
Hospitalizations,07/17/2021,80+,12.1,0.0,,,,,,,,,33027,51912,,4,0,,80,200
Cases,09/17/2022,5-11,123.0,119.8,213.0,1.0,0.6,,,,,,95128,81802,18308,117,98,39,5,11
Cases,08/14/2021,80+,71.8,47.4,,1.5,,,,,,,32042,52760,,23,25,,80,200
Cases,06/26/2021,80+,8.9,2.0,,4.4,,,,,,,33591,50911,,3,1,,80,200
Cases,04/10/2021,5-11,149.2,,,,,,,,,,210448,,,314,,,5,11
Cases,08/05/2023,0-4,24.6,2.5,,9.8,,,,,,,162642,,,40,4,,0,4
Deaths,07/01/2023,0-4,0.0,0.0,,,,,,,,,162642,,,0,0,,0,4
Cases,04/23/2022,0-4,127.9,,,,,,,,,,162642,,,208,,,0,4
Deaths,02/04/2023,0-4,0.0,0.0,,,,,,,,,162642,,,0,0,,0,4
Hospitalizations,12/04/2021,30-49,37.7,3.8,0.0,9.9,,,,,,,185523,469462,103054,70,18,0,30,49
Cases,10/16/2021,5-11,109.3,,,,,,,,,,210448,,,230,,,5,11
Deaths,10/22/2022,0-4,0.0,0.0,,,,,,,,,162642,,,0,0,,0,4
Cases,05/15/2021,30-49,171.7,14.1,,12.2,,,,,,,338871,332283,,582,47,,30,49
Cases,01/07/2023,0-4,63.9,3.1,,20.6,,,,,,,162642,,,104,5,,0,4
Hospitalizations,04/15/2023,0-4,1.8,0.0,,,,,,,,,162642,,,3,0,,0,4
Cases,04/01/2023,0-4,43.0,3.1,,13.9,,,,,,,162642,,,70,5,,0,4
Hospitalizations,10/08/2022,0-4,0.6,0.0,,,,,,,,,162642,,,1,0,,0,4
Cases,08/21/2021,80+,53.5,51.0,,1.0,,,,,,,31765,52936,,17,27,,80,200
Hospitalizations,12/31/2022,All,17.1,8.7,12.8,2.0,1.3,21.8,12.5,8.4,1.7,2.6,555407,853931,1040154,95,74,133,999,999
Hospitalizations,10/01/2022,0-4,3.7,0.0,,,,,,,,,162642,,,6,0,,0,4
Deaths,12/04/2021,80+,24.5,10.1,0.0,2.4,,,,,,,28623,29758,25961,7,3,0,80,200
Deaths,02/25/2023,0-4,0.0,0.0,,,,,,,,,162642,,,0,0,,0,4
Hospitalizations,05/06/2023,All,3.3,1.3,2.4,2.5,1.4,4.5,2.1,1.7,2.2,2.8,537432,860338,1040639,18,11,25,999,999
Cases,05/08/2021,80+,107.5,13.6,,7.9,,,,,,,36289,44240,,39,6,,80,200
Cases,08/26/2023,0-4,45.5,2.5,,18.2,,,,,,,162642,,,74,4,,0,4
Cases,01/22/2022,65-79,582.4,416.6,253.6,1.4,2.3,,,,,,50480,66009,141953,294,275,360,65,79
Cases,04/15/2023,0-4,35.7,3.1,,11.5,,,,,,,162642,,,58,5,,0,4
Hospitalizations,11/06/2021,80+,54.1,22.8,18.0,2.4,3.0,,,,,,29553,43800,11093,16,10,2,80,200
Hospitalizations,12/11/2021,80+,94.9,86.3,17.9,1.1,5.3,,,,,,28442,27803,28010,27,24,5,80,200
Cases,05/29/2021,All,63.9,6.8,,9.4,,71.4,5.9,,12.1,,1302037,1094752,,832,74,,999,999
Deaths,09/11/2021,80+,16.0,5.7,,2.8,,,,,,,31257,53008,,5,3,,80,200
Cases,08/20/2022,50-64,422.0,150.5,180.5,2.8,2.3,,,,,,40519,126270,244938,171,190,442,50,64
Cases,01/28/2023,0-4,59.0,3.1,,19.0,,,,,,,162642,,,96,5,,0,4
Hospitalizations,12/04/2021,All,34.9,9.6,3.6,3.6,9.7,50.7,9.2,1.6,5.5,32.1,864337,1287028,333146,302,123,12,999,999
Deaths,01/22/2022,30-49,3.3,0.6,0.0,5.5,,,,,,,149571,332274,256937,5,2,0,30,49
Deaths,04/03/2021,80+,19.0,0.0,,,,,,,,,42122,26360,,8,0,,80,200
Cases,12/25/2021,0-4,777.2,,,,,,,,,,162642,,,1264,,,0,4
Hospitalizations,11/05/2022,0-4,2.5,0.0,,,,,,,,,162642,,,4,0,,0,4
Hospitalizations,08/28/2021,80+,69.7,20.7,,3.4,,,,,,,31562,53137,,22,11,,80,200
Hospitalizations,11/13/2021,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Cases,09/04/2021,80+,66.9,54.7,,1.2,,,,,,,31387,53047,,21,29,,80,200
Cases,09/23/2023,0-4,42.4,2.5,,17.0,,,,,,,162642,,,69,4,,0,4
Cases,07/24/2021,80+,30.5,15.4,,2.0,,,,,,,32759,52117,,10,8,,80,200
Cases,07/23/2022,0-4,208.4,0.0,,,,,,,,,162642,,,339,0,,0,4
Deaths,07/30/2022,0-4,0.0,0.0,,,,,,,,,162642,,,0,0,,0,4
Hospitalizations,11/20/2021,80+,58.6,67.8,16.3,0.9,3.6,,,,,,29022,36868,18401,17,25,3,80,200
Hospitalizations,06/05/2021,80+,17.4,4.1,,4.2,,,,,,,34448,49247,,6,2,,80,200
Cases,06/04/2022,0-4,192.4,,,,,,,,,,162642,,,313,,,0,4
Deaths,05/15/2021,80+,16.8,0.0,,,,,,,,,35729,45820,,6,0,,80,200
Deaths,04/03/2021,12-17,0.0,,,,,,,,,,178794,,,0,,,12,17
Deaths,06/05/2021,80+,8.7,0.0,,,,,,,,,34448,49247,,3,0,,80,200
Cases,03/25/2023,0-4,48.0,3.7,,13.0,,,,,,,162642,,,78,6,,0,4
Cases,01/01/2022,12-17,2547.5,1827.4,694.4,1.4,3.7,,,,,,53465,108405,1872,1362,1981,13,12,17
Cases,07/01/2023,All,10.5,5.5,10.5,1.9,1.0,12.1,5.4,8.2,2.3,1.5,532370,860333,1040733,56,47,109,999,999
Hospitalizations,06/04/2022,50-64,30.4,6.8,5.1,4.5,6.0,,,,,,42758,131758,237215,13,9,12,50,64
Hospitalizations,12/17/2022,65-79,63.5,41.5,31.5,1.5,2.0,,,,,,40932,43361,171648,26,18,54,65,79
Deaths,07/31/2021,65-79,8.6,0.0,,,,,,,,,69459,192009,,6,0,,65,79
Hospitalizations,11/04/2023,0-4,1.8,0.0,,,,,,,,,162642,,,3,0,,0,4
Hospitalizations,06/04/2022,0-4,6.1,,,,,,,,,,162642,,,10,,,0,4
Deaths,10/16/2021,12-17,0.0,0.0,,,,,,,,,65944,97454,,0,0,,12,17
Deaths,12/10/2022,All,0.4,0.1,0.3,4.0,1.3,0.3,0.1,0.2,2.2,1.5,560620,851689,1039873,2,1,3,999,999
Hospitalizations,12/03/2022,12-17,0.0,1.2,0.0,0.0,,,,,,,33965,86108,44513,0,1,0,12,17
Deaths,11/20/2021,80+,13.8,19.0,5.4,0.7,2.6,,,,,,29022,36868,18401,4,7,1,80,200
Deaths,08/12/2023,5-11,0.0,0.0,0.0,,,,,,,,89770,82673,21260,0,0,0,5,11
Hospitalizations,01/29/2022,30-49,25.4,11.3,3.3,2.2,7.7,,,,,,145400,318707,273200,37,36,9,30,49
Deaths,11/26/2022,0-4,0.0,0.0,,,,,,,,,162642,,,0,0,,0,4
Deaths,11/18/2023,0-4,0.0,0.0,,,,,,,,,162642,,,0,0,,0,4
Deaths,03/04/2023,30-49,0.0,0.4,0.3,0.0,0.0,,,,,,110600,277895,347260,0,1,1,30,49
Hospitalizations,09/18/2021,80+,38.6,13.2,,2.9,,,,,,,31106,52895,,12,7,,80,200
Hospitalizations,06/25/2022,All,12.7,7.3,8.8,1.7,1.4,15.4,9.1,6.2,1.7,2.5,635698,868337,988583,81,63,87,999,999
Hospitalizations,10/01/2022,50-64,10.3,3.2,4.9,3.2,2.1,,,,,,39014,125154,246575,4,4,12,50,64
Hospitalizations,10/23/2021,80+,13.3,14.6,0.0,0.9,,,,,,,30106,47937,6673,4,7,0,80,200
Hospitalizations,09/17/2022,80+,19.2,87.9,46.8,0.2,0.4,,,,,,26096,11381,47028,5,10,22,80,200
Hospitalizations,07/24/2021,80+,15.3,7.7,,2.0,,,,,,,32759,52117,,5,4,,80,200
Deaths,11/26/2022,5-11,0.0,0.0,0.0,,,,,,,,93076,81025,21098,0,0,0,5,11
Hospitalizations,01/21/2023,0-4,1.2,0.0,,,,,,,,,162642,,,2,0,,0,4
Deaths,12/18/2021,30-49,3.4,0.5,0.0,6.8,,,,,,,176574,429933,147317,6,2,0,30,49
Deaths,11/04/2023,65-79,2.6,0.0,0.6,,4.3,,,,,,37857,44044,172280,1,0,1,65,79
Cases,02/18/2023,65-79,129.6,126.7,106.6,1.0,1.2,,,,,,40129,43398,171695,52,55,183,65,79
Cases,05/29/2021,0-4,25.8,,,,,,,,,,162642,,,42,,,0,4
Deaths,03/18/2023,0-4,0.0,0.0,,,,,,,,,162642,,,0,0,,0,4
Hospitalizations,10/22/2022,0-4,3.7,0.0,,,,,,,,,162642,,,6,0,,0,4
Hospitalizations,07/29/2023,All,1.9,1.2,2.5,1.6,0.8,2.8,2.6,1.7,1.1,1.7,530107,860315,1040772,10,10,26,999,999
Hospitalizations,06/18/2022,0-4,4.3,,,,,,,,,,162642,,,7,,,0,4
Deaths,10/23/2021,80+,10.0,6.3,0.0,1.6,,,,,,,30106,47937,6673,3,3,0,80,200
Deaths,05/08/2021,80+,35.8,2.3,,15.6,,,,,,,36289,44240,,13,1,,80,200
Hospitalizations,09/09/2023,50-64,0.0,6.4,3.2,0.0,0.0,,,,,,32271,125723,246940,0,8,8,50,64
Cases,10/15/2022,5-11,81.6,80.4,78.9,1.0,1.0,,,,,,94329,80849,20269,77,65,16,5,11
Cases,10/02/2021,0-4,60.3,,,,,,,,,,162642,,,98,,,0,4
Cases,10/09/2021,65-79,92.7,41.3,,2.2,,,,,,,61521,191460,,57,79,,65,79
Cases,05/15/2021,80+,58.8,13.1,,4.5,,,,,,,35729,45820,,21,6,,80,200
Hospitalizations,04/02/2022,65-79,8.3,9.7,1.3,0.9,6.4,,,,,,48452,51564,159143,4,5,2,65,79
Cases,09/09/2023,0-4,46.7,2.5,,18.7,,,,,,,162642,,,76,4,,0,4
Hospitalizations,07/22/2023,5-11,0.0,0.0,0.0,,,,,,,,90050,82668,21259,0,0,0,5,11
Cases,07/08/2023,0-4,7.4,1.2,,6.2,,,,,,,162642,,,12,2,,0,4
Hospitalizations,02/26/2022,50-64,12.8,5.5,3.2,2.3,4.0,,,,,,46700,145752,217214,6,8,7,50,64
Deaths,08/20/2022,0-4,0.0,0.0,,,,,,,,,162642,,,0,0,,0,4
Cases,05/01/2021,All,200.5,20.6,,9.7,,215.3,16.0,,13.5,,1471355,709078,,2950,146,,999,999
Hospitalizations,09/03/2022,0-4,4.3,0.6,,7.2,,,,,,,162642,,,7,1,,0,4
Cases,12/02/2023,80+,83.7,102.9,143.5,0.8,0.6,,,,,,23883,11658,47387,20,12,68,80,200
Hospitalizations,04/17/2021,80+,87.0,11.5,,7.6,,,,,,,39089,34683,,34,4,,80,200
Cases,05/13/2023,0-4,27.1,0.6,,45.2,,,,,,,162642,,,44,1,,0,4
Cases,12/24/2022,65-79,215.7,156.8,225.4,1.4,1.0,,,,,,40797,43362,171663,88,68,387,65,79
Hospitalizations,12/17/2022,0-4,7.4,0.0,,,,,,,,,162642,,,12,0,,0,4
Hospitalizations,07/29/2023,0-4,0.6,0.0,,,,,,,,,162642,,,1,0,,0,4
Cases,05/29/2021,80+,57.5,14.5,,4.0,,,,,,,34769,48292,,20,7,,80,200
Hospitalizations,05/14/2022,0-4,2.5,,,,,,,,,,162642,,,4,,,0,4
Cases,04/16/2022,0-4,90.4,,,,,,,,,,162642,,,147,,,0,4
Hospitalizations,10/14/2023,5-11,0.0,0.0,0.0,,,,,,,,89235,82644,21300,0,0,0,5,11
Hospitalizations,08/19/2023,All,5.5,1.3,4.0,4.2,1.4,6.3,2.0,2.8,3.2,2.2,528293,860304,1040794,29,11,42,999,999
Cases,02/18/2023,80+,81.0,219.7,218.6,0.4,0.4,,,,,,24700,11377,47122,20,25,103,80,200
Hospitalizations,10/16/2021,80+,16.5,16.0,,1.0,,,,,,,30320,49996,,5,8,,80,200
Deaths,10/29/2022,0-4,0.0,0.0,,,,,,,,,162642,,,0,0,,0,4
Deaths,10/01/2022,0-4,0.0,0.0,,,,,,,,,162642,,,0,0,,0,4
Deaths,07/15/2023,0-4,0.0,0.0,,,,,,,,,162642,,,0,0,,0,4
Hospitalizations,06/18/2022,30-49,19.5,3.9,4.7,5.0,4.1,,,,,,128401,281885,338011,25,11,16,30,49
Deaths,07/23/2022,12-17,0.0,0.0,0.0,,,,,,,,36073,90284,39015,0,0,0,12,17
Deaths,08/27/2022,5-11,0.0,0.0,0.0,,,,,,,,95812,83661,15377,0,0,0,5,11
Cases,11/06/2021,80+,91.4,52.5,18.0,1.7,5.1,,,,,,29553,43800,11093,27,23,2,80,200
Cases,07/10/2021,80+,6.0,1.9,,3.2,,,,,,,33207,51643,,2,1,,80,200
Cases,08/14/2021,5-11,111.2,,,,,,,,,,210448,,,234,,,5,11
Cases,01/21/2023,0-4,60.3,2.5,,24.1,,,,,,,162642,,,98,4,,0,4
Cases,07/30/2022,0-4,170.9,0.0,,,,,,,,,162642,,,278,0,,0,4
Deaths,10/30/2021,80+,10.1,6.5,0.0,1.6,,,,,,,29835,46071,8679,3,3,0,80,200
Deaths,09/10/2022,0-4,0.0,0.0,,,,,,,,,162642,,,0,0,,0,4
Deaths,11/06/2021,80+,20.3,6.8,0.0,3.0,,,,,,,29553,43800,11093,6,3,0,80,200
Deaths,10/14/2023,0-4,0.0,0.0,,,,,,,,,162642,,,0,0,,0,4
Cases,05/01/2021,5-11,112.6,,,,,,,,,,210448,,,237,,,5,11
Hospitalizations,05/06/2023,0-4,1.8,0.0,,,,,,,,,162642,,,3,0,,0,4
Deaths,09/24/2022,0-4,0.0,0.0,,,,,,,,,162642,,,0,0,,0,4
Hospitalizations,05/27/2023,50-64,6.1,0.8,1.6,7.6,3.8,,,,,,32906,125743,246912,2,1,4,50,64
Deaths,10/28/2023,50-64,0.0,0.8,0.0,0.0,,,,,,,30857,125795,247425,0,1,0,50,64
Hospitalizations,07/22/2023,65-79,10.2,2.3,4.1,4.4,2.5,,,,,,39318,43421,171748,4,1,7,65,79
Deaths,08/12/2023,50-64,0.0,0.0,0.0,,,,,,,,32441,125727,246935,0,0,0,50,64
Deaths,08/26/2023,65-79,2.6,0.0,0.0,,,,,,,,39187,43414,171755,1,0,0,65,79
Hospitalizations,03/26/2022,80+,3.7,14.2,7.0,0.3,0.5,,,,,,27071,14053,43109,1,2,3,80,200
Deaths,10/30/2021,All,1.3,0.6,0.0,2.2,,2.2,0.5,0.0,4.3,,968843,1483650,92473,13,9,0,999,999
Hospitalizations,11/19/2022,30-49,16.4,2.5,2.6,6.6,6.3,,,,,,115941,276754,347089,19,7,9,30,49
Deaths,12/24/2022,0-4,0.0,0.0,,,,,,,,,162642,,,0,0,,0,4
Cases,03/05/2022,0-4,45.5,,,,,,,,,,162642,,,74,,,0,4
Deaths,09/04/2021,80+,31.9,3.8,,8.4,,,,,,,31387,53047,,10,2,,80,200
Cases,08/28/2021,80+,107.7,82.8,,1.3,,,,,,,31562,53137,,34,44,,80,200
Hospitalizations,03/11/2023,0-4,1.2,0.6,,2.0,,,,,,,162642,,,2,1,,0,4
Hospitalizations,11/06/2021,5-11,2.0,,,,,,,,,,204950,,,4,,,5,11
Cases,11/06/2021,5-11,178.1,,,,,,,,,,204950,,,365,,,5,11
Cases,10/09/2021,5-11,119.3,,,,,,,,,,210448,,,251,,,5,11
Deaths,09/11/2021,18-29,0.0,0.0,,,,,,,,,185405,298401,,0,0,,18,29
Deaths,02/05/2022,50-64,28.7,5.7,0.5,5.0,57.4,,,,,,48776,157818,201587,14,9,1,50,64
Hospitalizations,09/23/2023,30-49,9.4,0.7,0.6,13.4,15.7,,,,,,106401,278395,347328,10,2,2,30,49
Hospitalizations,05/08/2021,80+,71.6,2.3,,31.1,,,,,,,36289,44240,,26,1,,80,200
Cases,12/04/2021,80+,188.7,178.1,34.7,1.1,5.4,,,,,,28623,29758,25961,54,53,9,80,200
Cases,07/29/2023,50-64,46.1,22.3,27.5,2.1,1.7,,,,,,32542,125729,246933,15,28,68,50,64
Cases,07/17/2021,80+,24.2,0.0,,,,,,,,,33027,51912,,8,0,,80,200
Hospitalizations,05/13/2023,0-4,1.2,0.0,,,,,,,,,162642,,,2,0,,0,4
Hospitalizations,06/19/2021,80+,3.0,0.0,,,,,,,,,33852,50423,,1,0,,80,200
Cases,08/05/2023,50-64,67.7,13.5,27.5,5.0,2.5,,,,,,32496,125728,246934,22,17,68,50,64
Hospitalizations,08/07/2021,80+,34.1,15.2,,2.2,,,,,,,32284,52589,,11,8,,80,200
Cases,04/22/2023,0-4,29.5,1.8,,16.4,,,,,,,162642,,,48,3,,0,4
Cases,11/11/2023,0-4,43.7,2.5,,17.5,,,,,,,162642,,,71,4,,0,4
Cases,12/18/2021,18-29,1706.3,970.4,1042.6,1.8,1.6,,,,,,143348,288118,46808,2446,2796,488,18,29
Cases,03/04/2023,65-79,127.4,108.3,115.3,1.2,1.1,,,,,,40040,43409,171702,51,47,198,65,79
Hospitalizations,02/25/2023,0-4,3.7,0.0,,,,,,,,,162642,,,6,0,,0,4
Hospitalizations,08/27/2022,0-4,6.8,0.0,,,,,,,,,162642,,,11,0,,0,4
Deaths,06/19/2021,80+,0.0,0.0,,,,,,,,,33852,50423,,0,0,,80,200
Hospitalizations,12/04/2021,50-64,112.1,12.9,3.8,8.7,29.5,,,,,,64234,270486,79047,72,35,3,50,64
Deaths,09/30/2023,0-4,0.0,0.0,,,,,,,,,162642,,,0,0,,0,4
Cases,04/30/2022,0-4,164.2,,,,,,,,,,162642,,,267,,,0,4
Cases,12/31/2022,12-17,65.3,23.2,49.4,2.8,1.3,,,,,,33668,86208,44537,22,20,22,12,17
Deaths,10/02/2021,80+,35.9,1.9,,18.9,,,,,,,30671,52751,,11,1,,80,200
Deaths,10/21/2023,0-4,0.0,0.0,,,,,,,,,162642,,,0,0,,0,4
Hospitalizations,09/04/2021,80+,31.9,28.3,,1.1,,,,,,,31387,53047,,10,15,,80,200
Hospitalizations,11/05/2022,5-11,1.1,1.2,0.0,0.9,,,,,,,93672,80665,21005,1,1,0,5,11
Deaths,09/09/2023,0-4,0.0,0.0,,,,,,,,,162642,,,0,0,,0,4
Deaths,06/12/2021,80+,5.9,4.0,,1.5,,,,,,,34140,49948,,2,2,,80,200
Deaths,08/14/2021,80+,6.2,0.0,,,,,,,,,32042,52760,,2,0,,80,200
Deaths,11/11/2023,0-4,0.0,0.0,,,,,,,,,162642,,,0,0,,0,4
Deaths,12/11/2021,80+,38.7,14.4,3.6,2.7,10.8,,,,,,28442,27803,28010,11,4,1,80,200
Cases,09/25/2021,80+,67.9,47.3,,1.4,,,,,,,30936,52848,,21,25,,80,200
Cases,04/09/2022,0-4,95.3,,,,,,,,,,162642,,,155,,,0,4
Cases,03/26/2022,30-49,73.6,44.2,112.4,1.7,0.7,,,,,,133230,291909,322847,98,129,363,30,49
Cases,06/05/2021,80+,17.4,6.1,,2.9,,,,,,,34448,49247,,6,3,,80,200
Hospitalizations,04/03/2021,12-17,1.1,,,,,,,,,,178794,,,2,,,12,17
Cases,04/29/2023,50-64,114.5,31.0,36.5,3.7,3.1,,,,,,33180,125733,246904,38,39,90,50,64
Cases,10/15/2022,0-4,45.5,2.5,,18.2,,,,,,,162642,,,74,4,,0,4
Hospitalizations,05/01/2021,80+,78.4,11.9,,6.6,,,,,,,37001,42149,,29,5,,80,200
Cases,06/18/2022,0-4,168.5,,,,,,,,,,162642,,,274,,,0,4
Cases,06/19/2021,12-17,15.7,0.0,,,,,,,,,114743,24556,,18,0,,12,17
Cases,07/01/2023,0-4,8.0,1.2,,6.7,,,,,,,162642,,,13,2,,0,4
Hospitalizations,02/25/2023,18-29,5.2,0.9,1.2,5.8,4.3,,,,,,76945,213529,161651,4,2,2,18,29
Hospitalizations,04/16/2022,12-17,0.0,0.0,3.1,,0.0,,,,,,37876,95178,32264,0,0,1,12,17
Hospitalizations,04/10/2021,80+,69.3,9.9,,7.0,,,,,,,40425,30292,,28,3,,80,200
Cases,01/01/2022,0-4,1471.3,,,,,,,,,,162642,,,2393,,,0,4
Cases,05/28/2022,0-4,200.4,,,,,,,,,,162642,,,326,,,0,4
Deaths,06/24/2023,0-4,0.0,0.0,,,,,,,,,162642,,,0,0,,0,4
Hospitalizations,05/27/2023,0-4,1.8,0.0,,,,,,,,,162642,,,3,0,,0,4
Deaths,02/19/2022,All,2.8,1.0,0.8,2.8,3.5,3.3,1.5,0.5,2.3,6.8,677481,910869,868745,19,9,7,999,999
Cases,08/05/2023,30-49,34.4,15.1,23.9,2.3,1.4,,,,,,107409,278402,347313,37,42,83,30,49
Hospitalizations,01/07/2023,0-4,5.5,0.0,,,,,,,,,162642,,,9,0,,0,4
Hospitalizations,08/20/2022,0-4,8.6,0.0,,,,,,,,,162642,,,14,0,,0,4
Deaths,04/29/2023,0-4,0.0,0.0,,,,,,,,,162642,,,0,0,,0,4
Cases,10/09/2021,All,143.6,52.3,,2.7,,161.0,42.2,,3.8,,998664,1519169,,1434,794,,999,999
Hospitalizations,02/26/2022,All,6.4,3.1,3.8,2.1,1.7,8.0,4.0,2.5,2.0,3.2,671890,908056,888098,43,28,34,999,999
Cases,08/28/2021,5-11,135.0,,,,,,,,,,210448,,,284,,,5,11
Hospitalizations,07/16/2022,0-4,4.9,,,,,,,,,,162642,,,8,,,0,4
Deaths,04/09/2022,30-49,0.0,0.0,0.0,,,,,,,,132219,289629,326607,0,0,0,30,49
Hospitalizations,01/14/2023,12-17,9.0,0.0,2.2,,4.1,,,,,,33518,86264,44538,3,0,1,12,17
Hospitalizations,11/19/2022,0-4,5.5,0.0,,,,,,,,,162642,,,9,0,,0,4
Cases,08/20/2022,0-4,145.1,3.1,,46.8,,,,,,,162642,,,236,5,,0,4
Cases,02/11/2023,0-4,61.5,2.5,,24.6,,,,,,,162642,,,100,4,,0,4
Cases,07/09/2022,0-4,170.9,,,,,,,,,,162642,,,278,,,0,4
Cases,04/15/2023,12-17,64.0,28.9,40.4,2.2,1.6,,,,,,32822,86525,44572,21,25,18,12,17
Deaths,11/12/2022,0-4,0.0,0.0,,,,,,,,,162642,,,0,0,,0,4
Cases,06/26/2021,50-64,16.1,5.4,,3.0,,,,,,,111605,294901,,18,16,,50,64
Deaths,03/11/2023,0-4,0.0,0.0,,,,,,,,,162642,,,0,0,,0,4
Cases,04/03/2021,5-11,79.4,,,,,,,,,,210448,,,167,,,5,11
Cases,04/10/2021,0-4,117.4,,,,,,,,,,162642,,,191,,,0,4
Cases,05/13/2023,5-11,74.9,37.5,23.5,2.0,3.2,,,,,,90743,82680,21241,68,31,5,5,11
Cases,04/17/2021,0-4,103.3,,,,,,,,,,162642,,,168,,,0,4
Hospitalizations,04/29/2023,0-4,0.0,0.0,,,,,,,,,162642,,,0,0,,0,4
Cases,10/29/2022,0-4,68.2,1.8,,37.9,,,,,,,162642,,,111,3,,0,4
Cases,04/17/2021,5-11,141.1,,,,,,,,,,210448,,,297,,,5,11
Hospitalizations,07/02/2022,50-64,31.0,10.0,7.5,3.1,4.1,,,,,,41916,129677,240221,13,13,18,50,64
Cases,04/24/2021,0-4,80.5,,,,,,,,,,162642,,,131,,,0,4
Cases,07/22/2023,18-29,39.2,5.6,10.5,7.0,3.7,,,,,,73902,214135,161709,29,12,17,18,29
